Hydro,PF00015,PF00037,PF00041,PF00067,PF00082,PF00089,PF00106,PF00107,PF00108,PF00109,PF00111,PF00120,PF00126,PF00132,PF00135,PF00141,PF00144,PF00171,PF00175,PF00182,PF00196,PF00201,PF00202,PF00206,PF00296,PF00301,PF00326,PF00353,PF00355,PF00378,PF00394,PF00487,PF00501,PF00550,PF00561,PF00578,PF00596,PF00657,PF00668,PF00682,PF00698,PF00701,PF00724,PF00732,PF00734,PF00743,PF00775,PF00848,PF00866,PF00903,PF00970,PF00975,PF01011,PF01042,PF01083,PF01118,PF01144,PF01323,PF01361,PF01408,PF01425,PF01451,PF01494,PF01557,PF01565,PF01613,PF01614,PF01648,PF01674,PF01717,PF01738,PF01740,PF01883,PF02230,PF02332,PF02406,PF02426,PF02461,PF02585,PF02627,PF02706,PF02746,PF02770,PF02771,PF02801,PF02803,PF02817,PF02852,PF02894,PF02900,PF02913,PF02962,PF02964,PF03033,PF03241,PF03328,PF03349,PF03403,PF03466,PF03472,PF03573,PF03576,PF03583,PF03737,PF03922,PF04166,PF04209,PF04303,PF04444,PF04663,PF04909,PF04945,PF05138,PF05199,PF05922,PF06099,PF06234,PF06243,PF06766,PF06850,PF07519,PF07690,PF07729,PF07731,PF07732,PF07746,PF07819,PF07836,PF07859,PF07883,PF07992,PF08028,PF08212,PF08240,PF09084,PF09290,PF09339,PF09995,PF10397,PF10417,PF10503,PF10605,PF11339,PF11716,PF11723,PF11794,PF11895,PF12146,PF12391,PF12464,PF12695,PF12697,PF12740,PF13192,PF13193,PF13290,PF13360,PF13378,PF13380,PF13410,PF13417,PF13442,PF13450,PF13459,PF13472,PF13549,PF13561,PF13577,PF13607,PF13614,PF13641,PF13675,PF13807,PF14361,PF14535,PF14759,PF16197,PF16403,PF17171,PF17172,PF17837,PF17885,PF18113,PF18962
A_Alkanes,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
B_Alkenes,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
C_Aromatics,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
D_Biosurfactant,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
E_Plastics,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
